"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-2.213537693E-3,1.591801643E-3,1.171846390E-1,1.172163521E-1
9.992846000E-3,-1.021781564E-2,-3.400295973E-3,1.251850128E-1,1.256473366E-1
2.000876900E-2,-1.421952248E-2,-3.390371799E-3,1.301841736E-1,1.310023225E-1
2.999161500E-2,-2.021569014E-2,-3.378570080E-3,1.361837387E-1,1.377174628E-1
4.001307700E-2,-1.521319151E-2,-7.361263037E-3,1.361827850E-1,1.372274766E-1
5.001230800E-2,-1.121252775E-2,-4.344433546E-3,1.311826706E-1,1.317326381E-1
6.000607700E-2,-1.220914721E-2,-1.329213381E-3,1.271820068E-1,1.277736004E-1
7.001530800E-2,-5.214691162E-3,1.682847738E-3,1.301813126E-1,1.302965814E-1
7.999992300E-2,3.764241934E-3,-1.298636198E-3,1.371793747E-1,1.372371554E-1
9.001592300E-2,7.733702660E-3,-4.272997379E-3,1.391763687E-1,1.394565533E-1
1.000055380E-1,7.700473070E-3,-4.245042801E-3,1.441745758E-1,1.444424660E-1
1.100232310E-1,3.673195839E-3,-2.219110727E-3,1.501712799E-1,1.502325868E-1
1.200112310E-1,6.510913372E-4,1.799315214E-3,1.551704407E-1,1.551822384E-1
1.300058460E-1,4.617303610E-3,4.811108112E-3,1.561679840E-1,1.563102859E-1
1.400144610E-1,-5.390524864E-3,9.808927774E-3,1.501674652E-1,1.505839979E-1
1.500121540E-1,-1.038336754E-2,1.279690862E-2,1.471691132E-1,1.480889026E-1
1.600285380E-1,-1.336339116E-2,2.573844790E-2,1.331720352E-1,1.362932093E-1
1.700019230E-1,-6.365299225E-3,2.567458153E-2,1.301755905E-1,1.328359347E-1
1.800313850E-1,3.595381975E-3,1.365229487E-2,1.321754456E-1,1.329272746E-1
1.900100000E-1,3.553420305E-3,4.666179419E-3,1.481714249E-1,1.482874613E-1
2.000136920E-1,-4.460453987E-3,1.065945625E-2,1.601715088E-1,1.605877700E-1
2.100068460E-1,-1.144725084E-2,1.862087846E-2,1.621742249E-1,1.636406303E-1
2.200084620E-1,-8.440643549E-3,1.857447624E-2,1.481761932E-1,1.495741952E-1
2.300005380E-1,5.227923393E-4,1.454377174E-2,1.331758499E-1,1.339686591E-1
2.402362310E-1,3.471970558E-3,1.351734996E-2,1.431751251E-1,1.438537097E-1
2.500084620E-1,3.419548273E-3,9.511530399E-3,1.551733017E-1,1.555021417E-1
2.600293080E-1,-6.133317947E-4,3.533244133E-3,1.471719742E-1,1.472156580E-1
2.700013850E-1,-6.613999605E-3,2.559423447E-3,1.361703873E-1,1.363549413E-1
2.799986920E-1,-1.059225202E-2,6.563663483E-3,1.371707916E-1,1.377356292E-1
2.900185380E-1,-5.599588156E-3,1.452451944E-2,1.421728134E-1,1.430224665E-1
3.000123850E-1,3.582239151E-4,2.045002580E-2,1.431741714E-1,1.446277126E-1
3.100099230E-1,-6.641477346E-3,1.540043950E-2,1.361761093E-1,1.372050127E-1
3.200088460E-1,-6.637513638E-3,1.037627459E-2,1.241779327E-1,1.247873497E-1
3.300157690E-1,-6.633996964E-3,1.333257556E-2,1.261787415E-1,1.270544855E-1
3.399996920E-1,-1.458179951E-2,1.229974627E-2,1.381835938E-1,1.394941512E-1
3.500057690E-1,-1.750752330E-2,1.027864218E-2,1.361875534E-1,1.376924601E-1
3.600079230E-1,-1.147073507E-2,9.261667728E-3,1.301898956E-1,1.310220026E-1
3.700266150E-1,-2.496361732E-3,4.279226065E-3,1.391887665E-1,1.392769052E-1
3.800140000E-1,3.428220749E-3,4.305511713E-3,1.491842270E-1,1.492857117E-1
3.900118460E-1,7.326006889E-3,7.306754589E-3,1.451787949E-1,1.455470423E-1
4.000058460E-1,7.222682238E-3,8.298516273E-3,1.391754150E-1,1.396095579E-1
4.099990770E-1,1.725256443E-4,8.288413286E-3,1.361732483E-1,1.364253683E-1
4.221906920E-1,-1.862108707E-3,1.332253218E-3,1.331701279E-1,1.331898093E-1
4.299975380E-1,-1.897990704E-3,-4.575133324E-3,1.381645203E-1,1.382532780E-1
4.401251540E-1,-1.935034990E-3,4.789829254E-4,1.411609650E-1,1.411750396E-1
4.500131540E-1,1.102685928E-5,9.461224079E-3,1.431589127E-1,1.434712137E-1
4.600956150E-1,-1.034379005E-3,1.340863109E-2,1.391601562E-1,1.398084776E-1
