"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
0.000000000E0,0.000000000E0,0.000000000E0,1.052631587E-1,1.052631587E-1
1.018869200E-2,0.000000000E0,0.000000000E0,1.052631587E-1,1.052631587E-1
2.068476900E-2,0.000000000E0,0.000000000E0,1.052631587E-1,1.052631587E-1
3.006600000E-2,-1.754385978E-2,0.000000000E0,1.052631587E-1,1.067151329E-1
4.181707700E-2,-1.754385978E-2,0.000000000E0,1.052631587E-1,1.067151329E-1
5.001761500E-2,-1.754385978E-2,0.000000000E0,1.052631587E-1,1.067151329E-1
6.004430700E-2,-1.754385978E-2,0.000000000E0,1.052631587E-1,1.067151329E-1
6.999800000E-2,-3.508771956E-2,0.000000000E0,1.228070185E-1,1.277212271E-1
8.125161500E-2,-3.508771956E-2,0.000000000E0,1.228070185E-1,1.277212271E-1
9.009361500E-2,-5.263157934E-2,0.000000000E0,1.228070185E-1,1.336100555E-1
1.008158460E-1,-5.263157934E-2,0.000000000E0,1.228070185E-1,1.336100555E-1
1.113355380E-1,-5.263157934E-2,0.000000000E0,1.228070185E-1,1.336100555E-1
1.199989230E-1,-5.263157934E-2,0.000000000E0,1.228070185E-1,1.336100555E-1
1.308593070E-1,-5.263157934E-2,0.000000000E0,1.228070185E-1,1.336100555E-1
1.400128460E-1,-3.508771956E-2,0.000000000E0,1.228070185E-1,1.277212271E-1
1.509205380E-1,-3.508771956E-2,0.000000000E0,1.228070185E-1,1.277212271E-1
1.600725380E-1,-5.263157934E-2,0.000000000E0,1.228070185E-1,1.336100555E-1
1.700307690E-1,-5.263157934E-2,0.000000000E0,1.228070185E-1,1.336100555E-1
1.800000770E-1,-5.263157934E-2,0.000000000E0,1.228070185E-1,1.336100555E-1
1.904148460E-1,-5.263157934E-2,0.000000000E0,1.228070185E-1,1.336100555E-1
2.000004610E-1,-7.017543912E-2,0.000000000E0,1.228070185E-1,1.414431194E-1
2.100921530E-1,-7.017543912E-2,0.000000000E0,1.052631587E-1,1.265105720E-1
2.202296920E-1,-7.017543912E-2,0.000000000E0,1.052631587E-1,1.265105720E-1
2.299977690E-1,-7.017543912E-2,0.000000000E0,8.771929890E-2,1.123355138E-1
2.407268460E-1,-7.017543912E-2,0.000000000E0,7.017543912E-2,9.924305775E-2
2.500105380E-1,-8.771929890E-2,0.000000000E0,5.263157934E-2,1.022974024E-1
2.616789230E-1,-1.052631587E-1,0.000000000E0,3.508771956E-2,1.109571117E-1
2.700282300E-1,-1.052631587E-1,0.000000000E0,3.508771956E-2,1.109571117E-1
2.801004610E-1,-1.228070185E-1,0.000000000E0,0.000000000E0,1.228070185E-1
2.899983840E-1,-1.228070185E-1,0.000000000E0,0.000000000E0,1.228070185E-1
3.000104610E-1,-1.228070185E-1,0.000000000E0,0.000000000E0,1.228070185E-1
3.106782300E-1,-1.228070185E-1,-1.754385978E-2,-1.754385978E-2,1.252882190E-1
3.200095380E-1,-1.228070185E-1,-1.754385978E-2,-1.754385978E-2,1.252882190E-1
3.304863840E-1,-1.228070185E-1,-1.754385978E-2,-1.754385978E-2,1.252882190E-1
3.400084610E-1,-1.228070185E-1,-1.754385978E-2,-1.754385978E-2,1.252882190E-1
3.501287690E-1,-1.228070185E-1,-1.754385978E-2,0.000000000E0,1.240538222E-1
3.599979230E-1,-1.052631587E-1,-1.754385978E-2,0.000000000E0,1.067151329E-1
3.701541530E-1,-1.052631587E-1,-1.754385978E-2,1.754385978E-2,1.081476149E-1
3.819992300E-1,-8.771929890E-2,-1.754385978E-2,5.263157934E-2,1.037908742E-1
3.919992300E-1,-7.017543912E-2,-1.754385978E-2,5.263157934E-2,8.945648336E-2
4.007010000E-1,-7.017543912E-2,-1.754385978E-2,5.263157934E-2,8.945648336E-2
4.100126920E-1,-7.017543912E-2,-1.754385978E-2,7.017543912E-2,1.007818016E-1
4.211953840E-1,-5.263157934E-2,-1.754385978E-2,1.052631587E-1,1.189882462E-1
4.300122300E-1,-5.263157934E-2,-1.754385978E-2,1.052631587E-1,1.189882462E-1
4.416396920E-1,-3.508771956E-2,-1.754385978E-2,1.228070185E-1,1.289205137E-1
4.500196150E-1,-3.508771956E-2,-1.754385978E-2,1.228070185E-1,1.289205137E-1
4.603153840E-1,-1.754385978E-2,-1.754385978E-2,1.228070185E-1,1.252882190E-1
4.699983070E-1,-1.754385978E-2,-1.754385978E-2,1.228070185E-1,1.252882190E-1
4.808546150E-1,-1.754385978E-2,-1.754385978E-2,1.228070185E-1,1.252882190E-1
4.899997690E-1,-1.754385978E-2,0.000000000E0,1.403508782E-1,1.414431194E-1
5.000103840E-1,0.000000000E0,0.000000000E0,1.403508782E-1,1.403508782E-1
5.117522300E-1,0.000000000E0,0.000000000E0,1.403508782E-1,1.403508782E-1
5.199993070E-1,0.000000000E0,0.000000000E0,1.403508782E-1,1.403508782E-1
5.312997690E-1,0.000000000E0,0.000000000E0,1.403508782E-1,1.403508782E-1
5.400139230E-1,0.000000000E0,0.000000000E0,1.228070185E-1,1.228070185E-1
5.507813840E-1,0.000000000E0,0.000000000E0,1.228070185E-1,1.228070185E-1
5.601526920E-1,0.000000000E0,0.000000000E0,1.052631587E-1,1.052631587E-1
5.700207690E-1,-1.754385978E-2,0.000000000E0,8.771929890E-2,8.945648336E-2
5.799977690E-1,-1.754385978E-2,0.000000000E0,7.017543912E-2,7.233518695E-2
5.900511530E-1,-3.508771956E-2,0.000000000E0,5.263157934E-2,6.325528601E-2
6.000003070E-1,-3.508771956E-2,0.000000000E0,5.263157934E-2,6.325528601E-2
6.100237690E-1,-3.508771956E-2,0.000000000E0,3.508771956E-2,4.962152887E-2
6.200100000E-1,-3.508771956E-2,-1.754385978E-2,1.754385978E-2,4.297350458E-2
6.313769230E-1,-3.508771956E-2,0.000000000E0,0.000000000E0,3.508771956E-2
6.404240770E-1,-3.508771956E-2,0.000000000E0,-1.754385978E-2,3.922926306E-2
